Unic Identifier,Database,Gene,Species,TaxID,Last update,Sequence version
UPI0007DCF4CD,UniProtKB/TrEMBL,ATP6,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCF861,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCF898,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCFCC5,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCFD68,UniProtKB/TrEMBL,COX2,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCFDFA,UniProtKB/TrEMBL,ND4L,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCFE04,UniProtKB/TrEMBL,COX2,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DCFE9D,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCFF1F,UniProtKB/TrEMBL,COX2,Mammuthus exilis,1851653,2023-06-28,1
UPI0007DD00F3,UniProtKB/TrEMBL,ND4,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD0133,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD025A,UniProtKB/TrEMBL,COX2,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD02DF,UniProtKB/TrEMBL,ND4L,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD03E8,UniProtKB/TrEMBL,ATP6,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD042F,UniProtKB/TrEMBL,ND3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD0493,UniProtKB/TrEMBL,ND6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD08E7,UniProtKB/TrEMBL,ND6,Mammuthus exilis,1851653,2023-06-28,1
UPI0007DD0A15,UniProtKB/TrEMBL,ND3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD0A2E,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD0A80,UniProtKB/TrEMBL,COX2,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD0AAD,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD0B3A,UniProtKB/TrEMBL,ND5,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD0B77,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
